nom_bassin_versant,latitude_centroide,longitude_centroide,quantile_prelevement_national,score_secheresse,classe_secheresse,classe_prelevement,classe_bivariee,volume_moyen_preleve_m3_an,nb_communes,rang_secheresse_national
Les bassins côtiers compris entre l'embouchure du Thar (exclu) et l'embouchure de la Sée (exclu),48.7401,-1.4867,29.13,0.0,faible/nulle,faible,0-0,66669.0,8,0.0
La Bièvre de sa source au confluent du ruisseau de Vauhallan (inclus),48.7618,2.152,50.83,0.0,faible/nulle,modere,0-1,361195.0,14,0.0
La Saulx du confluent de la Bruxenelle (exclu) au confluent de la Marne (exclu),48.7222,4.6647,38.46,0.0,faible/nulle,modere,0-1,156991.4,4,0.0
La Risle du confluent du ruisseau de Corru (exclu) au confluent du Finard (inclus),48.757,0.5939,60.83,0.0,faible/nulle,modere,0-1,646958.2,5,0.0
La Superbe de sa source au confluent de la Maurienne (exclu),48.7438,3.9979,70.24,0.0,faible/nulle,fort,0-2,1224511.8,3,0.0
La Bruxenelle de sa source au confluent de la Saulx (exclu),48.731,4.8446,44.37,0.0,faible/nulle,modere,0-1,229887.6,15,0.0
La Marne du confluent de l'Orconté (exclu) au confluent de l'Isson (exclu),48.6887,4.5923,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
Le Grand Morin du confluent du ru de Drouilly (exclu) au confluent du ru de l'Orgeval (exclu),48.7869,3.2596,73.37,26.09,forte,fort,2-2,1511906.8,17,99.8
L'Yerres de sa source au confluent du ruisseau de la Visandre (exclu),48.7437,3.0179,39.83,0.0,faible/nulle,modere,0-1,171479.8,4,0.0
La Sée du confluent de la Braize (exclu) à l'embouchure,48.69,-1.4037,70.5,0.0,faible/nulle,fort,0-2,1247984.6,3,0.0
L'Udon du confluent de la Ranette (exclu) au confluent de l'Orne (exclu),48.6802,-0.1386,8.13,0.0,faible/nulle,faible,0-0,0.0,1,0.0
La Moselle des Bouvades au ruisseau de la Queue (inclus).,48.6467,5.8718,41.07,0.0,faible/nulle,modere,0-1,185691.0,3,0.0
La Mossig de sa source au ruisseau de la Sommerau.,48.6186,7.3169,50.01,0.0,faible/nulle,modere,0-1,339540.4,2,0.0
La Maurienne de sa source au confluent de la Superbe (exclu),48.7022,4.0266,63.45,0.0,faible/nulle,modere,0-1,781734.8,6,0.0
La Maire de sa source au confluent de l'Orne (exclu),48.6865,-0.2231,8.13,0.0,faible/nulle,faible,0-0,0.0,5,0.0
Le ruisseau de Chevillon de sa source au confluent de la Marne (exclu),48.528,5.1805,30.99,0.0,faible/nulle,faible,0-0,82203.2,1,0.0
L'Orconté de sa source au confluent de la Marne (exclu),48.6895,4.7871,68.93,0.0,faible/nulle,fort,0-2,1126997.2,9,0.0
La Seine du confluent de l'Orge (exclu) au confluent de l'Yerres (exclu),48.7107,2.4253,93.52,0.0,faible/nulle,fort,0-2,52217068.8,6,0.0
Le Grand Morin de sa source au confluent du ruisseau de Nogentel (inclus),48.7277,3.6208,53.64,1.66,faible/nulle,modere,0-1,426321.6,11,84.0
L'Yvette du confluent de la Mérantaise (exclu) au confluent de l'Orge (exclu),48.6899,2.2498,52.48,1.73,faible/nulle,modere,0-1,394127.4,14,84.4
Le ru de Bréon de sa source au confluent de l'Yerres (exclu),48.7285,2.875,57.91,0.0,faible/nulle,modere,0-1,546318.6,5,0.0
La Marsange de sa source au confluent de l'Yerres (exclu),48.7579,2.797,59.09,0.0,faible/nulle,modere,0-1,581714.8,11,0.0
La Vesgre de sa source au confluent de l'Opton (inclus),48.7469,1.6891,66.88,0.0,faible/nulle,fort,0-2,971177.8,18,0.0
La Bave de sa source au confluent du Labaures (inclus),44.7639,1.9889,21.49,0.0,faible/nulle,faible,0-0,22804.4,2,0.0
L'Avre du confluent de la Meuvette (exclu) au confluent de l'Eure (exclu),48.7804,1.2015,87.98,4.71,moderee,fort,1-2,7694097.6,22,91.3
L'Avre du confluent du ruisseau du Buternay (exclu) au confluent de la Meuvette (exclu),48.7531,1.0304,47.1,3.38,moderee,modere,1-1,274170.2,7,88.7
La Cance de sa source au confluent du Canèon (inclus),48.6706,-0.894,8.13,0.0,faible/nulle,faible,0-0,0.0,2,0.0
La Risle de sa source au confluent du ruisseau de Vieux Bourg (inclus),48.7053,0.3911,8.13,0.0,faible/nulle,faible,0-0,0.0,2,0.0
L'Orne du confluent de la Thouane (exclu) au confluent du Don (exclu),48.6691,0.0707,8.13,0.0,faible/nulle,faible,0-0,0.0,2,0.0
Le Val du Breuil de sa source au confluent de la Rouvre (exclu),48.6786,-0.4129,64.94,0.0,faible/nulle,modere,0-1,854210.6,6,0.0
La Moselle du Madon au ruisseau Sainte-Anne (inclus).,48.6196,6.0538,47.04,0.0,faible/nulle,modere,0-1,273182.8,3,0.0
La Marne du confluent de la Blaise (exclu) au confluent de l'Orconté (exclu),48.6613,4.6712,39.09,0.0,faible/nulle,modere,0-1,164071.2,5,0.0
La Barboure de sa source au confluent de l'Ornain (exclu),48.6542,5.4676,19.63,0.0,faible/nulle,faible,0-0,13442.0,7,0.0
L'Yerres du confluent du ruisseau de la Visandre (exclu) au confluent de l'Yvron (exclu),48.6876,2.9544,17.13,2.75,moderee,faible,1-0,2942.6,3,87.3
La Saulx du confluent du ruisseau de Nant (exclu) au confluent du ruisseau Saint Sébastien (inclus),48.7034,5.1194,97.2,0.0,faible/nulle,fort,0-2,376996721.4,13,0.0
L'Yvette de sa source au confluent de la Mérantaise (inclus),48.7062,1.9666,45.44,3.52,moderee,modere,1-1,247002.2,23,89.0
Le Don du confluent de la Senelle (exclu) au confluent de l'Orne (exclu),48.6772,0.1725,44.64,0.0,faible/nulle,modere,0-1,235470.4,3,0.0
L'Orne du confluent de l'Houay (exclu) au confluent de la Baize (inclus),48.686,-0.0193,27.21,0.0,faible/nulle,faible,0-0,53213.2,2,0.0
La Sélune du confluent du ruisseau de Mesnelle (exclu) au confluent de la Cance (exclu),48.6253,-0.9058,53.42,0.0,faible/nulle,modere,0-1,420449.2,1,0.0
La Douenne de sa source au confluent de la Sélune (exclu),48.6302,-1.0862,66.07,0.0,faible/nulle,modere,0-1,923860.0,2,0.0
L'Isle du confluent du Périgord (inclus) au confluent de la Valouse,45.484,1.0525,8.13,4.24,moderee,faible,1-0,0.0,0,90.4
La Cère du confluent des Granges au confluent du Roannes (Roques),44.8764,2.3982,17.61,0.0,faible/nulle,faible,0-0,4791.0,1,0.0
L'Oir de sa source au confluent de la Sélune (exclu),48.6452,-1.1876,96.01,0.0,faible/nulle,fort,0-2,186358396.8,6,0.0
L'Airon du confluent de la Glaine (exclu) au confluent du ruisseau du Moulin du Pré (exclu),48.4962,-1.0952,55.63,0.0,faible/nulle,modere,0-1,478446.4,1,0.0
COTIERS DU GOUET (NC) A L'IC (NC),48.5622,-2.7856,8.13,0.0,faible/nulle,faible,0-0,0.0,2,0.0
La Guesle de sa source au confluent de la Drouette (exclu),48.6636,1.7245,31.28,0.0,faible/nulle,faible,0-0,84630.4,3,0.0
L'Ornain du confluent de la Barboure (exclu) au confluent du ruisseau de Malval (exclu),48.6594,5.3513,89.24,0.0,faible/nulle,fort,0-2,10001315.8,7,0.0
Le ruisseau de la Visandre de sa source au confluent de l'Yerres (exclu),48.6717,3.1432,67.51,0.0,faible/nulle,fort,0-2,1017949.4,7,0.0
La Maltorne de sa source au confluent de l'Eure (exclu),48.6777,1.6198,67.44,0.0,faible/nulle,fort,0-2,1014297.8,8,0.0
La Marne du confluent de la Cousance (exclu) au confluent de la Blaise (exclu),48.6429,4.9314,98.97,0.0,faible/nulle,fort,0-2,1458041814.4,13,0.0
La Seine du confluent de l'Essonne (exclu) au confluent de l'Orge (exclu),48.6448,2.4937,91.58,3.87,moderee,fort,1-2,21777539.6,14,89.7
La Thouane de sa source au confluent de l'Orne (exclu),48.6068,0.0298,8.13,0.0,faible/nulle,faible,0-0,0.0,4,0.0
Le ru d'Avon de sa source au confluent de l'Yerres (exclu),48.6172,2.886,66.84,8.22,forte,fort,2-2,968659.2,4,95.8
L'Argent-Or du confluent de l'Or au confluent de la Charente,45.9831,0.3378,54.03,0.0,faible/nulle,modere,0-1,440548.2,3,0.0
L'Aubetin de sa source au confluent du ru de Chevru (inclus),48.6883,3.3552,67.2,0.0,faible/nulle,fort,0-2,997939.4,17,0.0
L'Aube du confluent de l'Herbissonne (exclu) au confluent de la Barbuise (exclu),48.5842,4.0002,74.39,0.0,faible/nulle,fort,0-2,1623615.8,3,0.0
L'Avre de sa source au confluent du ruisseau du Buternay (exclu),48.6741,0.7709,81.42,0.81,faible/nulle,fort,0-2,3097585.4,15,81.7
Le Don de sa source au confluent de la Senelle (inclus),48.6557,0.2746,33.74,0.0,faible/nulle,modere,0-1,105617.8,4,0.0
L'Herbissonne de sa source au confluent de l'Aube (exclu),48.6178,4.1251,70.98,0.0,faible/nulle,fort,0-2,1293248.0,4,0.0
L'Iton de sa source au diffluent du bras forcé de Verneuil,48.6927,0.6334,65.0,1.65,faible/nulle,modere,0-1,860232.2,14,83.9
La Rouvre de sa source au confluent de la Rouvrette (inclus),48.6299,-0.3098,45.79,0.0,faible/nulle,modere,0-1,252853.6,4,0.0
Le ruisseau de Prêle de sa source au confluent de la Blaise (exclu),48.5841,4.9669,24.93,0.0,faible/nulle,faible,0-0,41321.2,1,0.0
La Saulx du confluent de l'Orge (exclu) au confluent du ruisseau de Nant (inclus),48.6252,5.2039,90.63,11.95,forte,fort,2-2,15360609.0,13,98.1
LA VILAINE DU CANUT (NC) AU SEMNON (NC),47.914,-1.763,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
La Blaise du confluent du ruisseau de Prêle (exclu) au confluent de la Marne (exclu),48.5813,4.7955,49.36,1.25,faible/nulle,modere,0-1,325255.8,9,82.8
Le Rosenmeer.,48.4962,7.4993,37.23,0.0,faible/nulle,modere,0-1,143354.6,1,0.0
COTIERS DE LA DIGUE DE LA DUCHESSE ANNE (C) AU CANAL DES PLANCHES (C),48.5751,-1.6693,18.86,0.0,faible/nulle,faible,0-0,9959.8,5,0.0
L'Isson de sa source au confluent de la Marne (exclu),48.6247,4.6095,38.44,2.65,moderee,modere,1-1,156587.4,6,87.1
La Rémarde du confluent de la Prédecelle (exclu) au confluent de l'Orge (exclu),48.5989,2.1603,65.78,4.67,moderee,modere,1-1,904727.6,7,91.2
La Superbe du confluent de la Maurienne (exclu) au confluent de l'Aube (exclu),48.6883,3.8328,72.45,0.0,faible/nulle,fort,0-2,1434310.2,14,0.0
L'Eure du confluent de la Voise (exclu) au confluent de la Drouette (exclu),48.5988,1.5522,8.13,0.0,faible/nulle,faible,0-0,0.0,1,0.0
La Dordogne du confluent de la Triouzoune au confluent du Labiou,45.2921,2.3083,8.13,0.0,faible/nulle,faible,0-0,0.0,1,0.0
L'Eure du confluent de la Maltorne (exclu) au confluent de la Blaise (exclu),48.6813,1.4517,75.15,1.91,faible/nulle,fort,0-2,1715771.2,18,84.9
La Sélune du confluent du ruisseau du Moulin de Pontorsier (exclu) au confluent du ruisseau de Mesnelle (inclus),48.5747,-0.9294,8.13,0.0,faible/nulle,faible,0-0,0.0,1,0.0
L'Orne de sa source au confluent de la Sennevière (exclu),48.6119,0.1748,54.47,0.0,faible/nulle,modere,0-1,449475.8,3,0.0
La Galaure de l'Oeillon au Rhône,45.1909,4.928,85.3,0.0,faible/nulle,fort,0-2,4847371.2,11,0.0
La Sélune de sa source au confluent du ruisseau de la Francière (exclu),48.5899,-0.819,29.41,0.0,faible/nulle,faible,0-0,69771.2,2,0.0
La Jalle de Blanquefort du confluent du Bibey au confluent de la Garonne,44.8929,-0.7037,89.34,0.0,faible/nulle,fort,0-2,10135867.0,4,0.0
La Sélune du confluent de l'Airon (exclu) au confluent du Lair (exclu),48.5743,-1.1413,18.26,16.18,forte,faible,2-0,7214.4,2,99.0
La Mortagne du Grand-Rupt à la Meurthe.,48.5224,6.4477,34.72,0.0,faible/nulle,modere,0-1,115647.0,4,0.0
La Sélune du confluent du Lair (exclu) au confluent du Beuvron (exclu),48.5795,-1.2476,8.13,0.0,faible/nulle,faible,0-0,0.0,1,0.0
Le Beuvron du confluent du ruisseau de Saint Aubin de Terregatte (inclus) au confluent de la Sélune (exclu),48.5727,-1.2996,64.15,0.0,faible/nulle,modere,0-1,816726.8,2,0.0
COTIERS DE LA PENFELD (NC) A L'ELORN (NC),48.3961,-4.4526,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
Le Sarrampion du confluent du Pest au confluent de la Gimone,43.7609,0.9304,67.83,0.0,faible/nulle,fort,0-2,1036158.4,3,0.0
La Marne du confluent du ruisseau de Chevillon (exclu) au confluent de la Cousance (exclu),48.5585,5.0947,99.31,0.0,faible/nulle,fort,0-2,2803502090.0,3,0.0
Le Lair du confluent du ruisseau de la Bruyère (exclu) au confluent de la Sélune (exclu),48.5409,-1.2152,8.13,0.0,faible/nulle,faible,0-0,0.0,1,0.0
L'Huitrelle de sa source au confluent de l'Aube (exclu),48.6328,4.2567,75.13,0.0,faible/nulle,fort,0-2,1713564.6,6,0.0
Le Mayne,45.319,1.3694,44.11,0.0,faible/nulle,modere,0-1,225346.2,7,0.0
L'Aube du confluent de la Superbe (exclu) au confluent du ru de Choisel (inclus),48.6127,3.8043,76.17,0.0,faible/nulle,fort,0-2,1866957.6,16,0.0
Le ru de Barcq de sa source au confluent de la Voulzie (exclu),48.5926,3.2623,80.26,0.0,faible/nulle,fort,0-2,2712432.0,6,0.0
La Drouette de sa source au confluent de la Guesle (exclu),48.634,1.7992,83.07,1.45,faible/nulle,fort,0-2,3636372.4,7,83.3
L'Aube du confluent de l'Huitrelle (exclu) au confluent de l'Herbissonne (exclu),48.5357,4.1658,81.63,0.76,faible/nulle,fort,0-2,3130444.2,9,81.5
La Drouette du confluent de la Guesle (exclu) au confluent de l'Eure (exclu),48.604,1.6415,41.96,4.2,moderee,modere,1-1,197633.4,4,90.3
La Meuvette de sa source au confluent de l'Avre (exclu),48.6673,1.0337,51.24,3.67,moderee,modere,1-1,372651.2,12,89.4
L'Udon de sa source au confluent de la Ranette (inclus),48.5967,-0.1717,8.13,0.0,faible/nulle,faible,0-0,0.0,10,0.0
Le Lair de sa source au confluent du ruisseau de la Bruyère (inclus),48.5101,-1.1618,8.13,0.0,faible/nulle,faible,0-0,0.0,1,0.0
La Sennevière de sa source au confluent de l'Orne (exclu),48.5981,0.0749,8.13,0.0,faible/nulle,faible,0-0,0.0,2,0.0
La Jalle du Cartillon,45.0981,-0.7528,46.26,0.0,faible/nulle,modere,0-1,261561.2,2,0.0
La Sélune du confluent du ruisseau de la Francière (exclu) au confluent du ruisseau du Moulin de Pontorsier (inclus),48.5831,-0.8854,17.56,0.0,faible/nulle,faible,0-0,4691.4,1,0.0
L'Airon du confluent du ruisseau du Moulin du Pré (exclu) au confluent de la Sélune (exclu),48.5437,-1.0546,8.13,0.0,faible/nulle,faible,0-0,0.0,2,0.0
L'Almont du confluent du ru de Bouisy (inclus) au confluent de la Seine (exclu),48.5688,2.7559,77.06,0.0,faible/nulle,fort,0-2,2023204.8,13,0.0
L'Ehn de sa source au ruisseau de Boersch (inclus).,48.4554,7.3964,69.72,3.29,moderee,fort,1-2,1180935.6,3,88.5
La Noxe de sa source au confluent de la Seine (exclu),48.6071,3.5833,56.99,0.0,faible/nulle,modere,0-1,517464.4,6,0.0
L'Adour du confluent du Mahourat au confluent de la Courdaoute,43.7669,-0.4183,52.04,0.0,faible/nulle,modere,0-1,386122.2,1,0.0
LE BIEZ BRILLANT & SES AFFLUENTS,48.5464,-1.8035,8.13,16.7,forte,faible,2-0,0.0,4,99.1
La Bruche de la Hasel à la Magel (inclus).,48.4865,7.3501,50.19,0.0,faible/nulle,modere,0-1,345969.2,2,0.0
Le Thonac,45.0646,1.0907,19.6,0.0,faible/nulle,faible,0-0,13433.0,2,0.0
Le Puits de sa source au confluent de l'Aube (exclu),48.6197,4.3839,68.06,0.0,faible/nulle,fort,0-2,1062182.6,10,0.0
La Seine du confluent de l'Ecole (exclu) au confluent de l'Essonne (exclu),48.5803,2.5616,93.73,0.0,faible/nulle,fort,0-2,57195154.0,10,0.0
La Voulzie de sa source au confluent du ru de Barcq (exclu),48.5826,3.4112,88.8,18.21,forte,fort,2-2,8899005.6,4,99.3
L'Yvron de sa source au confluent de l'Yerres (exclu),48.6033,3.074,62.3,0.0,faible/nulle,modere,0-1,723121.0,12,0.0
Le Rabodeau du ruisseau du Fossé (inclus) au ruisseau dit ''Le Rû'' (= le Grandrupt).,48.4235,7.0374,29.99,0.0,faible/nulle,faible,0-0,74224.8,2,0.0
La Rémarde de sa source au confluent de la Prédecelle (inclus),48.6083,1.9945,78.62,0.51,faible/nulle,fort,0-2,2328961.0,15,80.8
L'Aube du confluent du Meldanèon (exclu) au confluent du Puits (exclu),48.4993,4.2688,23.61,0.0,faible/nulle,faible,0-0,33858.8,1,0.0
LA VAUVIZE DU LISERON (NC) A LA LOIRE (NC),47.2194,2.8185,55.95,0.43,faible/nulle,modere,0-1,486705.6,14,80.6
L'Adour du confluent de l'Echez au confluent de l'Estéous,43.4965,0.0297,64.91,0.0,faible/nulle,modere,0-1,852793.2,1,0.0
La Blaise du confluent du ruisseau de Saint Martin (exclu) au confluent de l'Eure (exclu),48.6455,1.2734,84.89,5.6,moderee,fort,1-2,4558519.4,18,92.5
Le ruisseau du Moulin du Pré du confluent du ruisseau de la Tabuère (exclu) au confluent de l'Airon (exclu),48.5036,-1.0179,8.13,0.0,faible/nulle,faible,0-0,0.0,1,0.0
Le Beuvron du confluent du ruisseau de Longueve (exclu) au confluent du ruisseau de Saint Aubin de Terregatte (exclu),48.534,-1.3134,8.13,0.0,faible/nulle,faible,0-0,0.0,3,0.0
La Douze du confluent des Neuf Fontaines au confluent du Roumat (inclus),43.9665,-0.4325,62.27,0.11,faible/nulle,modere,0-1,720754.0,2,80.2
La Héronne de sa source au confluent de la Voire (exclu),48.5278,4.7656,39.34,0.0,faible/nulle,modere,0-1,167070.0,9,0.0
La Vézère du confluent du Boulou au confluent de la Madrange,45.4807,1.6771,8.13,0.0,faible/nulle,faible,0-0,0.0,2,0.0
L'Ornain du confluent de l'Ognon (exclu) au confluent de l'Ormanèon (exclu),48.5434,5.5002,94.62,0.0,faible/nulle,fort,0-2,96570524.4,7,0.0
L'Aube du confluent du Puits (exclu) au confluent de l'Huitrelle (exclu),48.5132,4.2307,23.02,0.0,faible/nulle,faible,0-0,30456.2,1,0.0
LE COUESNON DU LOISON AU RAU DE LA CHENELAIS (C),48.5189,-1.5271,8.13,0.0,faible/nulle,faible,0-0,0.0,6,0.0
L'Ormanèon de sa source au confluent de l'Ornain (exclu),48.5367,5.3969,91.48,0.0,faible/nulle,fort,0-2,21041751.8,2,0.0
L'Almont de sa source au confluent du ru de Villefermoy (inclus),48.542,2.9821,74.05,0.0,faible/nulle,fort,0-2,1585429.4,7,0.0
L'Orge de sa source au confluent de la Saulx (exclu),48.5337,5.3388,34.67,0.0,faible/nulle,modere,0-1,114562.0,9,0.0
Le Meldanèon de sa source au confluent de l'Aube (exclu),48.5617,4.4894,70.56,0.0,faible/nulle,fort,0-2,1254024.6,11,0.0
L'Aube du confluent du Ravet (exclu) au confluent de l'Auzon (exclu),48.4857,4.3488,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
L'Aube du confluent de l'Auzon (exclu) au confluent du Meldanèon (exclu),48.4955,4.3132,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
L'Essonne du confluent de la Juine (exclu) au confluent de la Seine (exclu),48.5819,2.4017,82.49,0.35,faible/nulle,fort,0-2,3423281.8,13,80.5
La Rémarde de sa source au confluent de la Voise (exclu),48.5301,1.8041,66.62,1.37,faible/nulle,modere,0-1,953440.0,3,83.1
L'Eure du confluent de la Drouette (exclu) au confluent de la Maltorne (exclu),48.5719,1.4627,81.85,0.0,faible/nulle,fort,0-2,3192879.6,11,0.0
La Seine du confluent de l'Arce (exclu) au confluent de la Sarce (exclu),48.1351,4.3646,98.84,10.08,forte,fort,2-2,1171618980.4,5,97.2
La Blaise de sa source au confluent du ruisseau de Saint Martin (inclus),48.5699,1.0985,56.81,0.0,faible/nulle,modere,0-1,511977.0,6,0.0
La Voire du confluent de la Héronne (exclu) au confluent de la Laines (exclu),48.4924,4.6551,41.14,0.0,faible/nulle,modere,0-1,186799.8,4,0.0
L'Eure de sa source au confluent du Livier (exclu),48.5435,0.8934,18.74,0.0,faible/nulle,faible,0-0,9691.8,3,0.0
La Seine du confluent de la Noue des Nageoires (exclu) au confluent de l'Orvin (exclu),48.4766,3.4566,51.93,0.0,faible/nulle,modere,0-1,383680.0,2,0.0
LA COLMONT DE SA SOURCE A L'OURDE (NC),48.5016,-0.8763,8.13,0.0,faible/nulle,faible,0-0,0.0,1,0.0
La Moselle du ruisseau de Socourt au Grand Bief (inclus).,48.4234,6.2928,23.82,0.0,faible/nulle,faible,0-0,34662.4,6,0.0
Le Ravet de sa source au confluent de l'Aube (exclu),48.4873,4.4784,67.35,0.0,faible/nulle,fort,0-2,1008520.2,6,0.0
LE GUYOULT DE SA SOURCE AU RAU DE LANDA (C),48.4911,-1.659,58.96,0.0,faible/nulle,modere,0-1,578575.6,3,0.0
Le Resson de sa source au confluent de la Seine (exclu),48.5333,3.466,59.95,0.0,faible/nulle,modere,0-1,612366.8,4,0.0
Le ruisseau du Moulin du Pré de sa source au confluent du ruisseau de la Tabuère (inclus),48.4767,-0.9658,8.13,0.0,faible/nulle,faible,0-0,0.0,2,0.0
Le Beuvron de sa source au confluent du ruisseau de Longueve (inclus),48.4691,-1.2257,21.96,0.0,faible/nulle,faible,0-0,25025.0,4,0.0
La Bourbre du ruisseau de Clandon à l'Hien,45.5598,5.474,72.52,12.41,forte,fort,2-2,1437894.8,8,98.2
L'Aroffe du ruisseau de Vicherey (ou ruisseau des Moulins) à son point de perte.,48.4069,5.877,19.89,0.0,faible/nulle,faible,0-0,14796.8,2,0.0
Le Pas de la Mule,46.0895,0.3232,53.53,0.0,faible/nulle,modere,0-1,422533.0,4,0.0
La Bruche de sa source au ruisseau de Climontaine (inclus).,48.3856,7.142,43.38,0.0,faible/nulle,modere,0-1,217622.6,5,0.0
La rivière de Beauregard du diffluent du Melda au confluent de la Seine (exclu),48.4694,3.9868,73.84,0.02,faible/nulle,fort,0-2,1567380.2,6,80.1
La Saulx de sa source au confluent de l'Orge (exclu),48.5029,5.2882,41.32,8.33,forte,modere,2-1,188721.6,7,95.9
La Marne du confluent du Rongeant (exclu) au confluent de l'Osne (exclu),48.4535,5.1473,97.62,0.0,faible/nulle,fort,0-2,459279982.0,6,0.0
Le Louts du confluent de la Gouaougue au confluent du [toponyme inconnu],43.725,-0.7889,54.56,0.0,faible/nulle,modere,0-1,451569.2,5,0.0
La Blaise du confluent du Blaiseron (exclu) au confluent du ruisseau de Prêle (exclu),48.4842,4.9968,64.66,0.0,faible/nulle,modere,0-1,842439.2,21,0.0
L'Ource du confluent du ruisseau de Beaumont (exclu) au confluent du Landion (exclu),48.0041,4.5975,20.37,0.0,faible/nulle,faible,0-0,17093.8,1,0.0
La Seine du confluent de l'Aube (exclu) au confluent du ruisseau de Faverolles (inclus),48.5295,3.6831,91.76,0.01,faible/nulle,fort,0-2,23855021.4,17,80.1
Le Moron de sa source au confluent du Colinet,45.1357,-0.4708,50.59,0.0,faible/nulle,modere,0-1,356666.2,2,0.0
La Seine du confluent de l'Ardusson (exclu) au confluent de la Noue des Nageoires (inclus),48.4921,3.5174,95.36,0.0,faible/nulle,fort,0-2,137967033.4,2,0.0
La Seine du confluent de l'Orvin (exclu) au confluent du Resson (exclu),48.4496,3.3823,21.65,0.0,faible/nulle,faible,0-0,23633.0,1,0.0
La Laurence,45.1095,1.1083,43.66,0.0,faible/nulle,modere,0-1,220215.8,2,0.0
Le ruisseau des Méances de sa source au confluent de la Seine (exclu),48.4886,3.3274,90.79,0.0,faible/nulle,fort,0-2,15937577.6,10,0.0
La Voulzie du confluent du ru de Barcq (exclu) au confluent de la Seine (exclu),48.514,3.216,80.43,0.0,faible/nulle,fort,0-2,2751976.8,11,0.0
La Seine du confluent de l'Almont (exclu) au confluent de l'Ecole (exclu),48.5088,2.6302,88.3,0.0,faible/nulle,fort,0-2,8153697.0,8,0.0
L'Essonne du confluent du ruisseau d'Huison (exclu) au confluent de la Juine (exclu),48.4879,2.3395,68.49,0.0,faible/nulle,fort,0-2,1108130.8,7,0.0
Les Granges,44.8696,2.4991,50.88,0.0,faible/nulle,modere,0-1,361946.6,2,0.0
L'Orge de sa source au confluent de la Rémarde (exclu),48.5187,2.0662,75.38,0.0,faible/nulle,fort,0-2,1752148.4,21,0.0
La Saône du ruisseau de Révillon inclus à la Superbe,47.8087,6.0091,43.04,0.0,faible/nulle,modere,0-1,213283.4,5,0.0
Le Rhin (+ Grand Canal) et le contre canal de drainage du Rhin de l'Ischert au Vieux Rhin.,48.3181,7.713,67.6,0.0,faible/nulle,fort,0-2,1026489.4,1,0.0
La Lède du confluent du Beldina au confluent du Laussou,44.5452,0.8438,33.3,0.0,faible/nulle,faible,0-0,102470.4,1,0.0
LA JAMBEE & SES AFFLUENTS,48.5442,0.6993,68.65,0.0,faible/nulle,fort,0-2,1112191.6,5,0.0
L'Auxence du confluent du ru de Sucy (inclus) au confluent de la Seine (exclu),48.4348,3.0783,43.32,0.0,faible/nulle,modere,0-1,216974.6,3,0.0
Le ru de la Vallée de Javot de sa source au confluent de la Seine (exclu),48.4543,2.9085,56.79,6.92,forte,modere,2-1,510558.0,9,94.3
Le Bergons du confluent du Cauci au confluent du Gave de Pau,43.0213,-0.1147,24.77,0.0,faible/nulle,faible,0-0,40313.6,4,0.0
La Truyère du confluent du Remontalou au confluent de l'Epie,44.8731,2.9695,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
Le Rongeant de sa source au confluent de la Marne (exclu),48.4225,5.2515,21.26,0.0,faible/nulle,faible,0-0,21800.8,7,0.0
La Seine du confluent du ru du Châtelet (exclu) au confluent de l'Almont (exclu),48.4819,2.7129,99.37,0.0,faible/nulle,fort,0-2,3293852457.6,5,0.0
La Glaine de sa source au confluent de l'Airon (exclu),48.4372,-1.1042,8.13,0.0,faible/nulle,faible,0-0,0.0,2,0.0
Le Dropt du confluent du Brayssou au confluent de la Bournègue,44.6365,0.7118,65.24,0.0,faible/nulle,modere,0-1,873939.2,7,0.0
La Seine du confluent de la rivière de Beauregard (exclu) au confluent de l'Aube (exclu),48.495,3.8287,91.71,2.01,faible/nulle,fort,0-2,23542162.0,7,85.2
L'Auxence de sa source au confluent du ru de Sucy (exclu),48.4746,3.1351,28.42,8.38,forte,faible,2-0,62226.6,11,96.0
LE GUINEFORT & SES AFFLUENTS & LA RANCE DU GUINEFORT AU LINON (NC),48.403,-2.0874,80.87,0.0,faible/nulle,fort,0-2,2928476.8,5,0.0
La Seine du confluent du Loing (exclu) au confluent du ru de la Vallée de Javot (exclu),48.4061,2.7278,99.55,0.0,faible/nulle,fort,0-2,6627606720.0,7,0.0
La Dives du confluent de la Divette (exclu) à l'embouchure,49.2903,-0.0996,8.13,0.0,faible/nulle,faible,0-0,0.0,1,0.0
La Seine du confluent de l'Auxence (exclu) au confluent de l'Yonne (exclu),48.4136,3.0045,79.59,0.0,faible/nulle,fort,0-2,2512938.4,6,0.0
Le Livier de sa source au confluent de l'Eure (exclu),48.473,0.9578,59.41,0.0,faible/nulle,modere,0-1,594023.0,4,0.0
La Saye du confluent de la Saye de Melon au confluent du Meudon,45.1243,-0.3864,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
L'Airon de sa source au confluent de la Glaine (exclu),48.4166,-1.0072,53.45,0.0,faible/nulle,modere,0-1,420619.0,6,0.0
