nom_bassin_versant,latitude_centroide,longitude_centroide,quantile_prelevement_national,score_secheresse,classe_secheresse,classe_prelevement,classe_bivariee,volume_moyen_preleve_m3_an,nb_communes,rang_secheresse_national
La Rhue de Cheylade du confluent de la petite Rhue d'Eybes au confluent du Bréchailles (inclus),45.221,2.7178,39.05,0.0,faible/nulle,modere,0-1,163703.0,3,0.0
L'Isle du confluent du Martarieux au confluent du Fayoulet,45.0078,0.2703,47.83,0.0,faible/nulle,modere,0-1,291066.0,2,0.0
L'Isère de l'Herbasse au Rhône,45.0514,4.9253,99.77,0.0,faible/nulle,fort,0-2,15629786535.2,7,0.0
Le Bès d'Arengosse,44.0331,-0.7822,52.8,0.0,faible/nulle,modere,0-1,403141.8,1,0.0
La Serène de Vabre,44.2604,2.1271,21.23,0.0,faible/nulle,faible,0-0,21564.0,1,0.0
L'Elle du confluent du Rieu (exclu) au confluent de la Vire (exclu),49.2572,-1.0801,8.13,0.0,faible/nulle,faible,0-0,0.0,1,0.0
La Truyère du confluent de l'Arcomie au confluent de l'Ander,44.9436,3.1602,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
Le Boudigau du confluent du Marsacq au confluent de l'Anguillère,43.5772,-1.4263,77.96,0.0,faible/nulle,fort,0-2,2197276.6,1,0.0
La Dordogne du confluent du Bélingou au confluent de la Couze,44.8419,0.7679,84.8,0.0,faible/nulle,fort,0-2,4497917.0,4,0.0
L'Elle du confluent du ruisseau de Branche (exclu) au confluent du Rieu (exclu),49.1952,-1.0267,67.73,0.0,faible/nulle,fort,0-2,1031469.2,2,0.0
La Colagne du confluent du Coulagnet au confluent du Piou,44.5232,3.3247,21.07,0.0,faible/nulle,faible,0-0,21009.8,2,0.0
Le Lez de sa source au ruisseau des Jaillets inclus,44.4883,5.1023,68.72,0.0,faible/nulle,fort,0-2,1114997.4,4,0.0
La Bindouyre,44.4734,2.3918,8.13,0.0,faible/nulle,faible,0-0,0.0,1,0.0
Le Chautard,44.3039,0.4283,79.88,0.0,faible/nulle,fort,0-2,2606769.8,3,0.0
La Barges de sa source au confluent de la Dives (exclu),48.7701,0.1621,37.1,0.0,faible/nulle,modere,0-1,142146.0,1,0.0
